model,metric,estimate,ci_lower,ci_upper,bootstrap_unit,n_bootstrap
EfficientNet-B4,qwk,0.5164311707805375,0.4794068965321988,0.5516207962662877,patient,2000
EfficientNet-B4,macro_f1,0.39639867915216564,0.3677557170345087,0.4233606015022401,patient,2000
EfficientNet-B4,balanced_accuracy,0.4444205770772053,0.4093888245728829,0.4772275308975061,patient,2000
EfficientNet-B4,accuracy,0.567931688804554,0.5537001897533207,0.5829222011385199,patient,2000
EfficientNet-B4,mae_grade,0.5802656546489564,0.5571110056925996,0.6041745730550284,patient,2000
DeiT-III,qwk,0.6689506273853576,0.637418635659138,0.6974136170476473,patient,2000
DeiT-III,macro_f1,0.508603559669193,0.4756729584607744,0.5378380769294303,patient,2000
DeiT-III,balanced_accuracy,0.4872297206429588,0.4524937960643574,0.519544410910619,patient,2000
DeiT-III,accuracy,0.7861480075901328,0.7732447817836812,0.7992409867172675,patient,2000
DeiT-III,mae_grade,0.3301707779886148,0.31024193548387097,0.35123339658444025,patient,2000
M12,qwk,0.79565613124425,0.7739142154168452,0.8154684084516056,patient,2000
M12,macro_f1,0.5735015546601503,0.5414634798804857,0.6027351092869183,patient,2000
M12,balanced_accuracy,0.5603759599866445,0.5275500320799231,0.59295230257138,patient,2000
M12,accuracy,0.822201138519924,0.8108159392789374,0.833780834914611,patient,2000
M12,mae_grade,0.23719165085388993,0.21992409867172674,0.25521821631878555,patient,2000
M13-D,qwk,0.7779952315267186,0.7523624505830653,0.7994224506139505,patient,2000
M13-D,macro_f1,0.5765476172656737,0.5463391420403106,0.6035049573127698,patient,2000
M13-D,balanced_accuracy,0.5474696511793435,0.5157228683052122,0.5793410504238009,patient,2000
M13-D,accuracy,0.8366223908918407,0.8242836812144213,0.8485815939278938,patient,2000
M13-D,mae_grade,0.2332068311195446,0.21574478178368123,0.2512381404174573,patient,2000
