model_a,model_b,metric,difference,ci_lower,ci_upper,ci_excludes_zero,proportion_a_exceeds_b
M13-D,M12,qwk,-0.017660899717531486,-0.02967524690352658,-0.006321901562069928,True,0.0005
M13-D,M12,macro_f1,0.0030460626055234252,-0.017826260238694706,0.02320417966960963,False,0.6175
M13-D,M12,balanced_accuracy,-0.012906308807300926,-0.03275393915649865,0.006873248223752784,False,0.1
M13-D,DeiT-III,qwk,0.10904460414136097,0.0892684106719227,0.12948122810762158,True,1.0
M13-D,DeiT-III,macro_f1,0.0679440575964807,0.04463505938828076,0.0915371460724304,True,1.0
M13-D,DeiT-III,balanced_accuracy,0.06023993053638477,0.03969675077512145,0.08241849806209633,True,1.0
M13-D,EfficientNet-B4,qwk,0.2615640607461811,0.2311084410226802,0.290778087406892,True,1.0
M13-D,EfficientNet-B4,macro_f1,0.18014893811350807,0.1513545461315333,0.20830762768306016,True,1.0
M13-D,EfficientNet-B4,balanced_accuracy,0.10304907410213826,0.07084013023609954,0.13465950326274864,True,1.0
M12,DeiT-III,qwk,0.12670550385889245,0.10527965360273862,0.14847688197189793,True,1.0
M12,DeiT-III,macro_f1,0.06489799499095728,0.04043379090957745,0.09089345414189165,True,1.0
M12,DeiT-III,balanced_accuracy,0.07314623934368569,0.04925423872885309,0.09827961899216892,True,1.0
M12,EfficientNet-B4,qwk,0.2792249604637126,0.24983436149118504,0.30990997315848934,True,1.0
M12,EfficientNet-B4,macro_f1,0.17710287550798465,0.1490784096734841,0.20435907583562088,True,1.0
M12,EfficientNet-B4,balanced_accuracy,0.11595538290943919,0.08570479788200207,0.1481587402514791,True,1.0
