subgroup,n,model,qwk,qwk_stable,macro_f1,accuracy,mae_grade
eye=left,2635,EfficientNet-B4,0.4997114617889369,True,0.3926665581698948,0.5609108159392789,0.5992409867172676
eye=left,2635,DeiT-III,0.6615027723584276,True,0.5170071772556385,0.777988614800759,0.3430740037950664
eye=left,2635,M12,0.7742164824650504,True,0.5694356521641304,0.8125237191650854,0.25502846299810245
eye=left,2635,M13-D,0.7605742485169518,True,0.5791419274039041,0.8280834914611006,0.24857685009487665
eye=right,2635,EfficientNet-B4,0.5336324719067405,True,0.4001181308318954,0.5749525616698292,0.5612903225806452
eye=right,2635,DeiT-III,0.6765712270637846,True,0.49955075858042425,0.7943074003795066,0.3172675521821632
eye=right,2635,M12,0.8172428076201709,True,0.5772858582377471,0.8318785578747628,0.21935483870967742
eye=right,2635,M13-D,0.79560930778353,True,0.5731621143532404,0.8451612903225807,0.21783681214421252
true_class=No DR,3875,EfficientNet-B4,,False,0.15705329153605016,0.6464516129032258,0.4696774193548387
true_class=No DR,3875,DeiT-III,,False,0.2403511123023318,0.9256774193548387,0.1336774193548387
true_class=No DR,3875,M12,,False,0.24358125992588672,0.9499354838709677,0.07096774193548387
true_class=No DR,3875,M13-D,,False,0.24693051201671892,0.975741935483871,0.04309677419354839
true_class=Mild,366,EfficientNet-B4,,False,0.10122448979591836,0.33879781420765026,0.6939890710382514
true_class=Mild,366,DeiT-III,,False,0.028350515463917526,0.060109289617486336,0.9453551912568307
true_class=Mild,366,M12,,False,0.07540603248259861,0.17759562841530055,0.8278688524590164
true_class=Mild,366,M13-D,,False,0.05205709487825357,0.08469945355191257,0.9153005464480874
true_class=Moderate,794,EfficientNet-B4,,False,0.09781160799238821,0.3236775818639798,0.9962216624685138
true_class=Moderate,794,DeiT-III,,False,0.14009819967266776,0.5390428211586902,0.8438287153652393
true_class=Moderate,794,M12,,False,0.146123101518785,0.575566750629723,0.6586901763224181
true_class=Moderate,794,M13-D,,False,0.14873417721518986,0.5919395465994962,0.7065491183879093
true_class=Severe,136,EfficientNet-B4,,False,0.12385786802030456,0.4485294117647059,0.7279411764705882
true_class=Severe,136,DeiT-III,,False,0.14948453608247422,0.4264705882352941,0.7941176470588235
true_class=Severe,136,M12,,False,0.14579439252336449,0.5735294117647058,0.5147058823529411
true_class=Severe,136,M13-D,,False,0.17307692307692307,0.5294117647058824,0.6176470588235294
true_class=Proliferative DR,99,EfficientNet-B4,,False,0.12689655172413794,0.46464646464646464,0.9494949494949495
true_class=Proliferative DR,99,DeiT-III,,False,0.16326530612244897,0.48484848484848486,0.98989898989899
true_class=Proliferative DR,99,M12,,False,0.13774834437086092,0.5252525252525253,0.797979797979798
true_class=Proliferative DR,99,M13-D,,False,0.17857142857142858,0.5555555555555556,0.8282828282828283
