n,qwk,macro_f1,balanced_accuracy,accuracy,mean_confidence,ece,under_grading_rate,over_grading_rate,qwk_stable,qwk_ci_lower,qwk_ci_upper,model,subgroup_type,subgroup_value
2635,0.4997114617889369,0.3926665581698948,0.44551143197826953,0.5609108159392789,0.4390408825489389,0.12407634100165321,0.14155597722960153,0.29753320683111956,True,0.45679423995127205,0.5409270337503833,EfficientNet-B4,eye,left
2635,0.5336324719067405,0.4001181308318954,0.4429804449548572,0.5749525616698292,0.4424315085963922,0.13613786686827456,0.13586337760910816,0.2891840607210626,True,0.49037361646977623,0.5707271626355824,EfficientNet-B4,eye,right
2635,0.5187880345439889,0.3956507107703926,0.4294786362520989,0.5844402277039848,0.44116768451236393,0.14756717453440144,0.1506641366223909,0.2648956356736243,True,0.47272316690418464,0.5573270635000103,EfficientNet-B4,brightness,brighter_half
2635,0.5136591976936986,0.3951433056274083,0.4564425044914039,0.5514231499051233,0.4403047066329671,0.11418613869392966,0.1267552182163188,0.3218216318785579,True,0.47021162347208406,0.5520598443104616,EfficientNet-B4,brightness,darker_half
2635,0.5365582445106554,0.38935424034844957,0.44790421666385266,0.5768500948766604,0.4401242407436545,0.1413839613010351,0.13206831119544593,0.29108159392789373,True,0.4947525848834608,0.5737120434450504,EfficientNet-B4,sharpness,blurrier_half
2635,0.4924862058386832,0.4061132298531092,0.43962818236639445,0.5590132827324478,0.4413481504016766,0.11998886714876784,0.14535104364326376,0.29563567362428844,True,0.4473759730527488,0.5355587840227946,EfficientNet-B4,sharpness,sharper_half
3875,,0.15705329153605016,,0.6464516129032258,0.4434869582403944,0.20424280281345378,0.0,0.3535483870967742,False,,,EfficientNet-B4,true_class,No DR
366,,0.10122448979591836,,0.33879781420765026,0.4353009465616612,0.10654757210637499,0.5491803278688525,0.11202185792349727,False,,,EfficientNet-B4,true_class,Mild
794,,0.09781160799238821,,0.3236775818639798,0.407812677524951,0.162925565782353,0.535264483627204,0.14105793450881612,False,,,EfficientNet-B4,true_class,Moderate
136,,0.12385786802030456,,0.4485294117647059,0.4833895897605322,0.14761593336441045,0.38235294117647056,0.16911764705882354,False,,,EfficientNet-B4,true_class,Severe
99,,0.12689655172413794,,0.46464646464646464,0.5586201099253302,0.17782072789844452,0.5353535353535354,0.0,False,,,EfficientNet-B4,true_class,Proliferative DR
2635,0.6615027723584276,0.5170071772556385,0.5011166157117868,0.777988614800759,0.6294316716483185,0.152555042530623,0.14231499051233396,0.07969639468690702,True,0.6248419952227748,0.6963156859183967,DeiT-III,eye,left
2635,0.6765712270637846,0.49955075858042425,0.4734204266784324,0.7943074003795066,0.6318279852541133,0.16410156062257264,0.14003795066413663,0.06565464895635674,True,0.6404038513156294,0.7095406649508218,DeiT-III,eye,right
2635,0.6592887196404775,0.497788039096724,0.4732806075723845,0.7836812144212524,0.6341358620811773,0.15331130191129494,0.1442125237191651,0.07210626185958255,True,0.6204191790206918,0.6950992835713135,DeiT-III,brightness,brighter_half
2635,0.6782836482435084,0.5172346295715544,0.5021621824732827,0.7886148007590132,0.6271237948212545,0.1636673912233883,0.13814041745730551,0.07324478178368121,True,0.6401315289749064,0.7130977541758341,DeiT-III,brightness,darker_half
2635,0.6842408381627254,0.5121269468672105,0.49755090285706627,0.7912713472485768,0.6278684761759427,0.16654044925139644,0.1332068311195446,0.07552182163187855,True,0.6501254706789653,0.7162066802566996,DeiT-III,sharpness,blurrier_half
2635,0.6514712678369663,0.5010379118511225,0.4733669728790918,0.7810246679316888,0.633391180726489,0.1507345528796143,0.149146110056926,0.0698292220113852,True,0.6140433851999418,0.6855783769862002,DeiT-III,sharpness,sharper_half
3875,,0.2403511123023318,,0.9256774193548387,0.636160425844149,0.290814146024035,0.0,0.07432258064516128,False,,,DeiT-III,true_class,No DR
366,,0.028350515463917526,,0.060109289617486336,0.5877230050434287,0.5277463254687578,0.8360655737704918,0.10382513661202186,False,,,DeiT-III,true_class,Mild
794,,0.14009819967266776,,0.5390428211586902,0.6078232850407318,0.07772201560117807,0.3979848866498741,0.06297229219143577,False,,,DeiT-III,true_class,Moderate
136,,0.14948453608247422,,0.4264705882352941,0.6547332077803028,0.22982365410192312,0.5220588235294118,0.051470588235294115,False,,,DeiT-III,true_class,Severe
99,,0.16326530612244897,,0.48484848484848486,0.7225810238936694,0.25121508166214923,0.5151515151515151,0.0,False,,,DeiT-III,true_class,Proliferative DR
2635,0.7742164824650504,0.5694356521641304,0.5545429900272666,0.8125237191650854,0.7613070017846825,0.06624248709030006,0.123719165085389,0.06375711574952561,True,0.7455520376141593,0.8018595241389381,M12,eye,left
2635,0.8172428076201709,0.5772858582377471,0.5660182466245606,0.8318785578747628,0.7555153138905574,0.07665698315749286,0.10891840607210626,0.05920303605313093,True,0.7950349653754701,0.8377223249345709,M12,eye,right
2635,0.8032962863235966,0.5904386221638871,0.5731243679134594,0.828842504743833,0.7564295416263993,0.07334709502298586,0.11537001897533207,0.05578747628083491,True,0.7760878442204896,0.82723076675075,M12,brightness,brighter_half
2635,0.7881567450910123,0.5558025917839973,0.5486687767515834,0.8155597722960152,0.7603927740488404,0.06739811740117353,0.11726755218216318,0.06717267552182163,True,0.7611954114898971,0.8124163661017723,M12,brightness,darker_half
2635,0.7924982533202163,0.5432497465466999,0.5395040837237923,0.8144212523719165,0.7527352132428816,0.07407826328403794,0.11347248576850096,0.07210626185958255,True,0.7661713566515227,0.8177598024471233,M12,sharpness,blurrier_half
2635,0.7988120043332629,0.6040052080053546,0.5781977833615664,0.8299810246679317,0.7640871024323581,0.06589392223557353,0.11916508538899431,0.05085388994307401,True,0.7703074957158695,0.8228711525302698,M12,sharpness,sharper_half
3875,,0.24358125992588672,,0.9499354838709677,0.7863624106618438,0.16374299273454482,0.0,0.05006451612903226,False,,,M12,true_class,No DR
366,,0.07540603248259861,,0.17759562841530055,0.688009578441417,0.5104139500261163,0.7240437158469946,0.09836065573770492,False,,,M12,true_class,Mild
794,,0.146123101518785,,0.575566750629723,0.6649628355594229,0.09954394474712751,0.3198992443324937,0.10453400503778337,False,,,M12,true_class,Moderate
136,,0.14579439252336449,,0.5735294117647058,0.7042934854313936,0.16578653045404923,0.34558823529411764,0.08088235294117647,False,,,M12,true_class,Severe
99,,0.13774834437086092,,0.5252525252525253,0.7484499932040607,0.2612888929197424,0.47474747474747475,0.0,False,,,M12,true_class,Proliferative DR
2635,0.7605742485169518,0.5791419274039041,0.5490074524573508,0.8280834914611006,0.7894797304422269,0.043606413875864336,0.13434535104364326,0.03757115749525617,True,0.7277263958941284,0.7896871814637887,M13-D,eye,left
2635,0.79560930778353,0.5731621143532404,0.5454478833557046,0.8451612903225807,0.7952275725063392,0.05633221679561972,0.1206831119544592,0.03415559772296015,True,0.7684302965282945,0.8200921363337536,M13-D,eye,right
2635,0.7790104906733026,0.5669101866391124,0.5372740005767387,0.8383301707779887,0.8017978348835815,0.045800216180266216,0.13055028462998103,0.03111954459203036,True,0.7492889512496259,0.8075557989273977,M13-D,brightness,brighter_half
2635,0.7768939720863414,0.5862351792398118,0.5580988042868547,0.8349146110056926,0.7829094680649845,0.052911436064846905,0.12447817836812144,0.040607210626185955,True,0.7462082440299287,0.8061170388332474,M13-D,brightness,darker_half
2635,0.7803932913087062,0.5718394674800431,0.545197167235201,0.8352941176470589,0.7846675796295152,0.05081807224038756,0.1222011385199241,0.04250474383301708,True,0.7509011196668883,0.8061894703120684,M13-D,sharpness,blurrier_half
2635,0.7750084783256125,0.5797223892951401,0.5475927781842294,0.8379506641366223,0.8000397233190507,0.04431405126454888,0.13282732447817835,0.02922201138519924,True,0.7420583394160234,0.8014034087775475,M13-D,sharpness,sharper_half
3875,,0.24693051201671892,,0.975741935483871,0.8267235040224166,0.14901843146145446,0.0,0.02425806451612903,False,,,M13-D,true_class,No DR
366,,0.05205709487825357,,0.08469945355191257,0.7215040741355186,0.6516358982526543,0.8224043715846995,0.09289617486338798,False,,,M13-D,true_class,Mild
794,,0.14873417721518986,,0.5919395465994962,0.6790009656948859,0.09811156150268943,0.33879093198992444,0.06926952141057935,False,,,M13-D,true_class,Moderate
136,,0.17307692307692307,,0.5294117647058824,0.6793861448347333,0.17021187940813212,0.4264705882352941,0.04411764705882353,False,,,M13-D,true_class,Severe
