model,class_id,class_name,auc_ovr,support
EfficientNet-B4,0,No DR,0.766657509538675,3875
EfficientNet-B4,1,Mild,0.578381426113622,366
EfficientNet-B4,2,Moderate,0.7423226139747842,794
EfficientNet-B4,3,Severe,0.9248665184811751,136
EfficientNet-B4,4,Proliferative DR,0.951901533220427,99
DeiT-III,0,No DR,0.8203315990287895,3875
DeiT-III,1,Mild,0.6412324276379714,366
DeiT-III,2,Moderate,0.8391333684492496,794
DeiT-III,3,Severe,0.9316823827310433,136
DeiT-III,4,Proliferative DR,0.9717304548091631,99
MaxViT-Tiny M12,0,No DR,0.8815530119088912,3875
MaxViT-Tiny M12,1,Mild,0.6864536811702726,366
MaxViT-Tiny M12,2,Moderate,0.9123590579930354,794
MaxViT-Tiny M12,3,Severe,0.96323959073306,136
MaxViT-Tiny M12,4,Proliferative DR,0.983290651633332,99
