epoch,phase,train_loss,val_loss,train_accuracy,val_accuracy,train_balanced_accuracy,val_balanced_accuracy,train_macro_f1,val_macro_f1,train_qwk,val_qwk,learning_rate_backbone,learning_rate_head,phase_epoch
1,1,1.4725349329276827,1.4266136517787116,0.7115431546408525,0.720303605313093,0.2320576441493624,0.26999981064395584,0.2340216083668581,0.28454963065293903,0.2163190657403129,0.3417535915248785,0.0,0.0001,
2,1,1.419966819927728,1.4144007250299038,0.7153664687220369,0.70853889943074,0.2919017147838656,0.29322036016674174,0.30367182691054895,0.31719066527173695,0.35192346473671754,0.38213522885045426,0.0,0.0001,
3,1,1.4008912322267721,1.395467090968615,0.71617993980314,0.7229601518026565,0.3171160904530802,0.31996788764365325,0.3252728566959425,0.342011242186151,0.39124321178687016,0.4148939036666157,0.0,0.0001,
4,2,1.313475211235114,1.257848018125067,0.7314325225738225,0.7907020872865275,0.43343647819965525,0.4588955862663261,0.4407854462096461,0.48987715873340465,0.5509055543302688,0.648066404262523,3e-05,0.0001,1.0
5,2,1.2296086559165322,1.229954999583496,0.7513218905067924,0.7918406072106262,0.5008638421710234,0.4938791202264108,0.5126381865148748,0.5023983748848233,0.6348000104306297,0.6677751604875709,2.984732162821399e-05,9.949107209404665e-05,2.0
6,2,1.185012190038229,1.2257459010752147,0.7582770682502237,0.7857685009487666,0.5424776442277764,0.49569477855371613,0.5524753082609333,0.5128793378044569,0.6678421376424986,0.6821606495998016,2.939239460421746e-05,9.797464868072488e-05,3.0
7,2,1.1383885702396015,1.2343827573352792,0.7660050435207029,0.6819734345351044,0.5831606014096831,0.5392016993066108,0.5895167854578435,0.5150764063321784,0.6969152315190577,0.6065987719667411,2.8644479930317776e-05,9.548159976772592e-05,4.0
8,2,1.0833256599921144,1.241100888053199,0.7762547791426014,0.7347248576850095,0.635266577092183,0.4907828451291013,0.6350711107580842,0.497583503252474,0.7217055053327112,0.650421615180383,2.7618802992467718e-05,9.206267664155907e-05,5.0
9,2,1.0179075211259878,1.3090567139565832,0.7945172049133653,0.7127134724857686,0.6892301431829141,0.4871049949711567,0.6852851504752022,0.49308638637726154,0.7527775351551167,0.6314104862159602,2.6336243615313872e-05,8.778747871771291e-05,6.0
10,2,0.9472061632163044,1.3194525021981922,0.8196941348735053,0.7531309297912714,0.7424771661628421,0.47362847322407087,0.7337503852278182,0.49658202356306547,0.7864030313719564,0.6575987444415381,2.482291100917928e-05,8.274303669726426e-05,7.0
11,2,0.8716700505291021,1.4035992861246473,0.8440982673065972,0.7176470588235294,0.7949567181498579,0.4781732243141475,0.7817406217895678,0.48294139702798056,0.8165842771084619,0.628361626473366,2.3109612261833963e-05,7.703204087277988e-05,8.0
12,2,0.8084765932475212,1.440661787262904,0.8652891889693322,0.7631878557874763,0.8358246194500817,0.4765709500207832,0.8184358031633374,0.4951191451043383,0.8416341402047653,0.659318509725333,2.12312251950283e-05,7.077075065009433e-05,9.0
13,2,0.7395730270940274,1.461320085860294,0.890994875132189,0.7366223908918406,0.8717649989078913,0.4436521717876968,0.854461852746403,0.46647109109432794,0.8650632486272352,0.6102196444123928,1.9225988352621448e-05,6.408662784207149e-05,10.0
