global_epoch,phase,phase_epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_balanced_accuracy,val_balanced_accuracy,train_macro_f1,val_macro_f1,train_qwk,val_qwk,learning_rate_backbone,learning_rate_head
1,1,1,1.5094294730538436,1.4342802379796356,0.5963149760026031,0.7125237191650854,0.2918773005265457,0.30003057309055425,0.28876478083352985,0.318572111961389,0.2586742165944945,0.3312493079900477,0.0,0.0003
2,1,2,1.4557589753925253,1.463755369593568,0.6267794679899129,0.7352941176470589,0.338560950551877,0.32705110492265604,0.3317392736678166,0.3352794125124426,0.33209097400622445,0.38344883287295206,0.0,0.000288581929876693
3,1,3,1.4379372013349292,1.4214096212296603,0.6408118441389409,0.6343453510436433,0.35744183739294055,0.29662247762355676,0.34973064816561666,0.31888976652383383,0.3597152075506851,0.3601269621679619,0.0,0.0002560660171779821
4,1,4,1.423475134453199,1.4229910817951585,0.6515496624095013,0.6170777988614801,0.35782971765347166,0.32425397565148717,0.3562168812691786,0.32639803436975023,0.3823631422165362,0.35297478749547184,0.0,0.00020740251485476348
5,1,5,1.404424161448642,1.38840696621665,0.6628162368827788,0.6948766603415559,0.3707129579320583,0.35471081189383646,0.3703045540223251,0.36721021355635075,0.3934789265963482,0.4119809584927294,0.0,0.00015
6,1,6,1.3916292007563122,1.3864387786365777,0.6756690799642072,0.7385199240986717,0.37352996803543725,0.349641631733116,0.37501749933810297,0.3564524555282649,0.3964730436685804,0.39539716974307726,0.0,9.259748514523653e-05
7,1,7,1.3836280653748823,1.3794878407719013,0.6831530139103554,0.7111954459203036,0.3764342844771002,0.34258104769256736,0.3794577207846796,0.3556409789739591,0.4039531752651577,0.4046163923392645,0.0,4.3933982822017876e-05
8,1,8,1.3738377376945996,1.3753433736044722,0.6918164809241032,0.7161290322580646,0.3817450936031327,0.3506151281511801,0.388095499684472,0.3681251741377553,0.4126208095126104,0.41469030469426527,0.0,1.1418070123306989e-05
9,2,1,1.5732246647526558,1.4961756690403543,0.5785406328805011,0.6201138519924099,0.27556277005378205,0.28506288486681947,0.26430821155673645,0.287277329059998,0.20073163653413284,0.24180397135098808,1e-05,0.0001
10,2,2,1.4850735509792221,1.4670131588796511,0.6305621085170422,0.616888045540797,0.3308668067220174,0.30923852811542013,0.3197559783316573,0.30861110516387413,0.31287338488885064,0.27915901673811205,1e-05,0.0001
11,2,3,1.4467849500066996,1.4504024402013993,0.6496380053689091,0.6850094876660342,0.3547049132749609,0.3190766316653389,0.34376304165299565,0.30083404319650053,0.35866723310428184,0.3242776278787044,1e-05,0.0001
12,2,4,1.426335401204549,1.4291376744999604,0.6587488814772635,0.6834914611005692,0.36660031512404,0.3091955363704645,0.35502767618233905,0.3269411222210391,0.382438891669008,0.34503073293804953,1e-05,0.0001
13,2,5,1.4026170141924041,1.4249404706357778,0.6723338485316847,0.667741935483871,0.37824779106597706,0.34422738293627925,0.3724896294632192,0.3432242245452633,0.4042388381595369,0.3625272725227361,1e-05,0.0001
14,2,6,1.389537649692671,1.4166030366235258,0.677174001464248,0.7074003795066414,0.3764702395759538,0.33672813367763793,0.37263903335428666,0.34926421552101333,0.4174243244323673,0.37443793142933235,1e-05,0.0001
15,2,7,1.3758590363276981,1.419524936341244,0.684088505653624,0.6840607210626186,0.40019857200400877,0.3534662425498928,0.39253459056784135,0.34050591004380876,0.4423166218563722,0.3754263912146004,1e-05,0.0001
16,2,8,1.3625100179712737,1.4086750919950077,0.6910030098430001,0.7129032258064516,0.4142804298772095,0.3417252963072611,0.4119768098611374,0.3486062666782656,0.4528979198746913,0.4068380461539377,1e-05,0.0001
17,2,9,1.3508951015219506,1.409847767800941,0.686203530464492,0.6571157495256167,0.416650040597044,0.37332556430061425,0.41415772344249885,0.34565307284555674,0.45737072674928303,0.4090687936502798,1e-05,0.0001
18,2,10,1.3464205145186154,1.3992461117214225,0.691491092491662,0.7250474383301708,0.4246768129215475,0.3573414081352012,0.4201673130957813,0.3596183717580976,0.4709106929033059,0.4065563727463125,1e-05,0.0001
19,2,11,1.338260058050265,1.3928475150121005,0.6963312454242252,0.6768500948766604,0.4334041453065119,0.35616901505650733,0.43003980898653327,0.36524755126078406,0.48623621577023546,0.42307421097234665,1e-05,0.0001
20,2,12,1.3235564838343636,1.3922977508584733,0.6953550801269015,0.6461100569259962,0.44438947119971023,0.3663944985632682,0.43927285426344687,0.37136222280823566,0.4821375366406008,0.4411597739297912,1e-05,0.0001
