epoch,phase,train_loss,val_loss,train_accuracy,val_accuracy,train_balanced_accuracy,val_balanced_accuracy,train_macro_f1,val_macro_f1,train_qwk,val_qwk,learning_rate_backbone,learning_rate_head,phase_epoch
1,1,1.292578106016505,1.2394965105310112,0.7267143903034247,0.7339658444022771,0.2269651677729902,0.2704063691316961,0.22256067794328427,0.27875996590284735,0.17427472214467332,0.30915896978649227,0.0,0.0001,
2,1,1.2114823258922922,1.1956463766731393,0.7224029935735785,0.713662239089184,0.29633366384603577,0.29426531976308157,0.3071969722361438,0.3014852688063443,0.3584617153620562,0.3694678970393016,0.0,0.0001,
3,1,1.1786830215800101,1.1777540743011676,0.7172781257626292,0.7250474383301708,0.32821575922499074,0.3115813290000803,0.333406423240465,0.3212726034216389,0.3893579453223308,0.3937557287713178,0.0,0.0001,
4,2,1.0367669259319756,0.9082116550467272,0.7405027251281217,0.7840607210626186,0.45243860694624827,0.5147029664500279,0.44945568733442387,0.5139394879467529,0.5712992871634258,0.717808740298642,5e-05,5e-05,1.0
5,2,0.8907443768109432,0.9476183193005918,0.7827218742373708,0.8140417457305503,0.5419405387641218,0.4464054085789684,0.5512370277015077,0.4911899125690448,0.7061542841532364,0.7007265432432446,4.9745536047023324e-05,4.9745536047023324e-05,2.0
6,2,0.8137157596438641,0.9153351713855533,0.7872366387374928,0.8178368121442126,0.5869446317922209,0.5539369286382301,0.5961443761302072,0.5509449924509731,0.742975645872799,0.7553845337992074,4.898732434036244e-05,4.898732434036244e-05,3.0
7,2,0.7510096280130467,0.9362633497258065,0.8002115024810867,0.7316888045540797,0.6338524421053313,0.5843041481266887,0.6383901829749484,0.5103779372317938,0.7698282238169284,0.6846162058858752,4.774079988386296e-05,4.774079988386296e-05,4.0
8,2,0.6633308683459543,0.9324957790365708,0.8197754819816155,0.7373814041745731,0.6914677445798256,0.5753719575557625,0.6932699588335085,0.5550570805746997,0.8006673852574479,0.7285200825334531,4.6031338320779534e-05,4.6031338320779534e-05,5.0
9,2,0.5696908062258622,1.038137451249689,0.837671845765883,0.7569259962049336,0.7531851395839587,0.5087865483020387,0.742593359530083,0.5351882486111476,0.8239559165857212,0.716090358245544,4.3893739358856455e-05,4.3893739358856455e-05,6.0
10,2,0.49008941139341283,1.1044615909768236,0.8582119905637354,0.759392789373814,0.7977349700445546,0.5343722164788898,0.7859776033999616,0.5432421121774562,0.8482434108839296,0.7245605035203626,4.137151834863213e-05,4.137151834863213e-05,7.0
11,2,0.3993375446093749,1.2852749973365885,0.8826567965508826,0.796584440227704,0.8464636924548902,0.5045521486303868,0.829864091185818,0.5340616104369996,0.8676006477302672,0.7263833737118228,3.851602043638994e-05,3.851602043638994e-05,8.0
12,2,0.32156143532162096,1.488581037566603,0.9020987553892459,0.7912713472485768,0.8805146709194501,0.500456354695977,0.8609085262549296,0.5377856225277956,0.8877704520246817,0.719086654373819,3.5385375325047166e-05,3.5385375325047166e-05,9.0
13,2,0.25652847867127226,1.5429993850230266,0.9236150654844221,0.7666034155597723,0.9084077378072756,0.5088903218500811,0.8935271598378517,0.5321541860946077,0.9075476106798104,0.7131645155195296,3.2043313921035743e-05,3.2043313921035743e-05,10.0
