Metric,M07,M09,Difference
QWK,0.7619049796957531,0.7484632630050575,-0.013441716690695604
Macro-F1,0.5518902573505498,0.5558250363004786,0.0039347789499288854
Balanced accuracy,0.5506652595025474,0.5315478967995169,-0.01911736270303055
Mild precision,0.15948275862068967,0.19704433497536947,0.0375615763546798
Mild recall,0.10054347826086957,0.10869565217391304,0.008152173913043473
Mild F1,0.12333333333333334,0.14010507880910683,0.016771745475773495
Moderate F1,0.5756026296566837,0.6227630637079457,0.04716043405126191
Mild -> No DR,306.0,308.0,2.0
Mild -> Moderate,25.0,20.0,-5.0
Mean absolute grade error,0.27058823529411763,0.2652751423149905,-0.005313092979127132
Large-grade error rate,0.06963946869070209,0.0713472485768501,0.0017077798861480087
