Metric,M09,M10,Difference
QWK,0.7484632630050575,0.7523200474059573,0.00385678440089976
Macro-F1,0.5558250363004786,0.5421773470496181,-0.013647689250860573
Balanced accuracy,0.5315478967995169,0.5463900114246681,0.014842114625151281
Mild precision,0.19704433497536947,0.18435754189944134,-0.012686793075928127
Mild recall,0.10869565217391304,0.08967391304347826,-0.019021739130434784
Mild F1,0.14010507880910683,0.1206581352833638,-0.019446943525743027
Moderate F1,0.6227630637079457,0.5895627644569816,-0.033200299250964016
Severe F1,0.4777327935222672,0.45714285714285713,-0.02058993637941009
Mild -> No DR,308.0,306.0,-2.0
Mild -> Moderate,20.0,28.0,8.0
MAE,0.2652751423149905,0.2747628083491461,0.009487666034155628
Large-grade error rate,0.0713472485768501,0.07286527514231499,0.001518026565464889
