image,num_candidate_components,pseudo_mask_coverage,pseudo_mask_max
19_left,12,0.0016632080078125,1.0
19_right,12,0.003997802734375,1.0
20_left,12,0.003757476806640625,1.0
20_right,12,0.003597259521484375,1.0
22_left,12,0.00301361083984375,1.0
22_right,12,0.006008148193359375,1.0
62_left,12,0.00449371337890625,1.0
62_right,12,0.002803802490234375,1.0
66_left,12,0.00331878662109375,1.0
66_right,12,0.00258636474609375,1.0
84_left,12,0.002559661865234375,1.0
84_right,12,0.0022125244140625,1.0
145_left,12,0.0040130615234375,1.0
145_right,12,0.002899169921875,1.0
190_left,12,0.002422332763671875,1.0
190_right,12,0.00426483154296875,1.0
194_left,12,0.0050201416015625,1.0
194_right,12,0.003597259521484375,1.0
204_left,12,0.002666473388671875,1.0
204_right,12,0.00177764892578125,1.0
214_left,12,0.00070953369140625,1.0
214_right,12,0.0009307861328125,1.0
225_left,12,0.004039764404296875,1.0
225_right,12,0.005710601806640625,1.0
239_left,12,0.0036773681640625,1.0
239_right,12,0.0037078857421875,1.0
259_left,12,0.0037841796875,1.0
259_right,12,0.00423431396484375,1.0
274_left,12,0.00193023681640625,1.0
274_right,12,0.00142669677734375,1.0
288_left,12,0.00258636474609375,1.0
288_right,12,0.00452423095703125,1.0
294_left,12,0.005435943603515625,1.0
294_right,12,0.00562286376953125,1.0
307_left,12,0.00446319580078125,1.0
307_right,12,0.005771636962890625,1.0
317_left,12,0.003662109375,1.0
317_right,12,0.00411224365234375,1.0
323_left,12,0.002071380615234375,1.0
323_right,12,0.001995086669921875,1.0
326_left,12,0.002262115478515625,1.0
326_right,12,0.002529144287109375,1.0
328_left,12,0.001834869384765625,1.0
328_right,12,0.00302886962890625,1.0
333_left,12,0.001712799072265625,1.0
333_right,12,0.003429412841796875,1.0
356_left,12,0.002559661865234375,1.0
356_right,12,0.002025604248046875,1.0
398_left,12,0.0028228759765625,1.0
398_right,12,0.0012359619140625,1.0
405_left,12,0.002353668212890625,1.0
405_right,12,0.004772186279296875,1.0
408_left,12,0.004161834716796875,1.0
408_right,12,0.00255584716796875,1.0
439_left,12,0.002597808837890625,1.0
439_right,12,0.003353118896484375,1.0
444_left,12,0.001705169677734375,1.0
444_right,12,0.00331878662109375,1.0
445_left,12,0.004291534423828125,1.0
445_right,12,0.00140380859375,1.0
448_left,12,0.00220489501953125,1.0
