Metric,M07,M11,Difference
QWK,0.7619049796957531,0.7694803786764735,0.007575398980720349
Macro-F1,0.5518902573505498,0.5476663200726931,-0.0042239372778566375
Balanced accuracy,0.5506652595025474,0.5164739970015635,-0.03419126250098392
Accuracy,0.8034155597722961,0.8258064516129032,0.022390891840607163
Mild F1,0.12333333333333334,0.15730337078651685,0.03397003745318351
Moderate F1,0.5756026296566837,0.6378227494766224,0.06222011981993869
Severe F1,0.4897959183673469,0.37168141592920356,-0.11811450243814337
PDR F1,0.6633165829145728,0.6524064171122995,-0.01091016580227333
MAE,0.27058823529411763,0.24364326375711576,-0.02694497153700187
Large-grade error rate,0.06963946869070209,0.0633776091081594,-0.006261859582542689
Mild -> No DR,306.0,295.0,-11.0
