Metric,M07,M09,M10,M11,M12
QWK,0.7619049796957531,0.7484632630050575,0.7523200474059573,0.7694803786764735,0.7853709591080099
Macro-F1,0.5518902573505498,0.5558250363004786,0.5421773470496181,0.5476663200726931,0.5670320158216526
Balanced accuracy,0.5506652595025474,0.5315478967995169,0.5463900114246681,0.5164739970015635,0.5552859452469294
Accuracy,0.8034155597722961,0.8127134724857685,0.8055028462998103,0.8258064516129032,0.8172675521821632
MAE,0.27058823529411763,0.2652751423149905,0.2747628083491461,0.24364326375711576,0.247438330170778
Large-grade error rate,0.06963946869070209,0.0713472485768501,0.07286527514231499,0.0633776091081594,0.06072106261859583
Mild F1,0.12333333333333334,0.14010507880910683,0.1206581352833638,0.15730337078651685,0.1996779388083736
Moderate F1,0.5756026296566837,0.6227630637079457,0.5895627644569816,0.6378227494766224,0.6391752577319587
Severe F1,0.4897959183673469,0.4777327935222672,0.45714285714285713,0.37168141592920356,0.4354243542435424
PDR F1,0.6633165829145728,0.631578947368421,0.6358974358974359,0.6524064171122995,0.6461538461538462
Mild -> No DR count,306.0,308.0,306.0,295.0,272.0
Severe -> Moderate count,,,,70.0,54.0
