Metric,M09,M12,M09_to_M12_difference
QWK,0.7484632630050575,0.7853709591080099,0.036907696102952414
Macro-F1,0.5558250363004786,0.5670320158216526,0.011206979521173999
Balanced accuracy,0.5315478967995169,0.5552859452469294,0.023738048447412563
Accuracy,0.8127134724857685,0.8172675521821632,0.004554079696394653
MAE,0.2652751423149905,0.247438330170778,-0.01783681214421251
Large-grade error rate,0.0713472485768501,0.06072106261859583,-0.010626185958254271
Mild F1,0.14010507880910683,0.1996779388083736,0.05957285999926676
Moderate F1,0.6227630637079457,0.6391752577319587,0.01641219402401306
Severe F1,0.4777327935222672,0.4354243542435424,-0.042308439278724796
PDR F1,0.631578947368421,0.6461538461538462,0.014574898785425172
Mild -> No DR count,308.0,272.0,-36.0
Severe -> Moderate count,,54.0,
