model,class,precision,recall,f1,average_precision,n_correct,common_confusion_destination
EfficientNet-B4,No DR,0.8644527278888512,0.6586625355021947,0.7476553341148886,0.8821690749628472,2551,Mild
EfficientNet-B4,Mild,0.11005199306759099,0.3451086956521739,0.16688567674113008,0.10041860580509852,127,No DR
EfficientNet-B4,Moderate,0.39664804469273746,0.355,0.37467018469656993,0.3516729835660014,284,No DR
EfficientNet-B4,Severe,0.27312775330396477,0.4881889763779528,0.3502824858757062,0.2735937513384273,62,Moderate
EfficientNet-B4,Proliferative DR,0.32882882882882886,0.7156862745098039,0.4506172839506173,0.5512398987404655,73,Moderate
DeiT-III,No DR,0.851280834914611,0.9266718306222567,0.8873779206329583,0.8938876565715628,3589,Moderate
DeiT-III,Mild,0.1896551724137931,0.059782608695652176,0.09090909090909091,0.12068526271874198,22,No DR
DeiT-III,Moderate,0.5623342175066313,0.53,0.5456885456885456,0.5640857942291334,424,No DR
DeiT-III,Severe,0.449438202247191,0.31496062992125984,0.37037037037037035,0.386183278576371,40,Moderate
DeiT-III,Proliferative DR,0.6947368421052632,0.6470588235294118,0.6700507614213198,0.6605127507883607,66,Moderate
M07,No DR,0.8715814506539834,0.946294861864188,0.907402822480812,0.917810689628134,3665,Mild
M07,Mild,0.15948275862068967,0.10054347826086957,0.12333333333333334,0.12974752314386295,37,No DR
M07,Moderate,0.6924428822495606,0.4925,0.5756026296566837,0.6484538950833387,394,No DR
M07,Severe,0.4311377245508982,0.5669291338582677,0.4897959183673469,0.47210468372759495,72,Moderate
M07,Proliferative DR,0.6804123711340206,0.6470588235294118,0.6633165829145728,0.71259021755238,66,Moderate
M09,No DR,0.8655560769591741,0.9524916085721663,0.9069452980946527,0.9132310371629339,3689,Mild
M09,Mild,0.19704433497536947,0.10869565217391304,0.14010507880910683,0.13449018790256148,40,No DR
M09,Moderate,0.7286432160804021,0.54375,0.6227630637079457,0.658795287068886,435,No DR
M09,Severe,0.49166666666666664,0.4645669291338583,0.4777327935222672,0.44264797208011325,59,Moderate
M09,Proliferative DR,0.6818181818181818,0.5882352941176471,0.631578947368421,0.667186759580985,60,Moderate
M10,No DR,0.8730916030534351,0.9450038729666925,0.907625542467452,0.9166707397311235,3660,Moderate
M10,Mild,0.18435754189944134,0.08967391304347826,0.1206581352833638,0.14250833318239753,33,No DR
M10,Moderate,0.6763754045307443,0.5225,0.5895627644569816,0.6236375172889734,418,No DR
M10,Severe,0.3829787234042553,0.5669291338582677,0.45714285714285713,0.4040714388841697,72,Moderate
M10,Proliferative DR,0.6666666666666666,0.6078431372549019,0.6358974358974359,0.6871955110791738,62,Moderate
M11,No DR,0.8747375787263821,0.9682416731216111,0.9191176470588235,0.9276732668611052,3750,Mild
M11,Mild,0.25301204819277107,0.11413043478260869,0.15730337078651685,0.16199026593439314,42,No DR
M11,Moderate,0.721958925750395,0.57125,0.6378227494766224,0.6790575559020421,457,No DR
M11,Severe,0.42424242424242425,0.33070866141732286,0.37168141592920356,0.4185713972029312,42,Moderate
M11,Proliferative DR,0.7176470588235294,0.5980392156862745,0.6524064171122995,0.6780994919002491,61,Moderate
M12,No DR,0.8867878787878788,0.9444874774076943,0.9147286821705426,0.9275718708671505,3658,Mild
M12,Mild,0.2450592885375494,0.16847826086956522,0.1996779388083736,0.16076058551190725,62,No DR
M12,Moderate,0.7099236641221374,0.58125,0.6391752577319587,0.6911010038478475,465,No DR
M12,Severe,0.4097222222222222,0.4645669291338583,0.4354243542435424,0.435655230846958,59,Moderate
M12,Proliferative DR,0.6774193548387096,0.6176470588235294,0.6461538461538462,0.7035611252315892,63,Moderate
