model_a,model_b,both_correct,both_wrong,a_correct_b_wrong,a_wrong_b_correct,jaccard_error_similarity,disagreement_rate
EfficientNet-B4,DeiT-III,2763,795,334,1378,0.31711208615875547,0.3774193548387097
EfficientNet-B4,M07,2801,740,296,1433,0.2997164844066424,0.3749525616698292
EfficientNet-B4,M09,2823,713,274,1460,0.29137719656722516,0.3696394686907021
EfficientNet-B4,M10,2799,727,298,1446,0.29421286928369084,0.3743833017077799
EfficientNet-B4,M11,2821,642,276,1531,0.26214781543487137,0.3855787476280835
EfficientNet-B4,M12,2820,686,277,1487,0.28,0.3749525616698292
DeiT-III,M07,3882,777,259,352,0.5597982708933718,0.13927893738140418
DeiT-III,M09,3894,740,247,389,0.5377906976744186,0.13946869070208728
DeiT-III,M10,3857,741,284,388,0.524416135881104,0.14781783681214422
DeiT-III,M11,3929,706,212,423,0.5264727815063386,0.1411764705882353
DeiT-III,M12,3890,712,251,417,0.5159420289855072,0.14781783681214422
M07,M09,4016,769,218,267,0.613237639553429,0.10474383301707779
M07,M10,4004,795,230,241,0.6279620853080569,0.10170777988614801
M07,M11,4034,718,200,318,0.580906148867314,0.11650853889943075
M07,M12,4026,755,208,281,0.6069131832797428,0.10967741935483871
M09,M10,4073,815,210,172,0.6808688387635756,0.08159392789373814
M09,M11,4060,695,223,292,0.5743801652892562,0.11309297912713473
M09,M12,4037,717,246,270,0.5815085158150851,0.11461100569259962
M10,M11,4033,706,212,319,0.570735650767987,0.11764705882352941
M10,M12,4003,721,242,304,0.569060773480663,0.11764705882352941
M11,M12,4090,701,262,217,0.5940677966101695,0.10341555977229601
